"rt","intensity"
0.003,2897
0.038,2292
0.074,1975
0.109,2705
0.145,2416
0.18,2616
0.216,1619
0.251,2194
0.287,2027
0.322,1759
0.358,2939
0.393,2025
0.429,2004
0.464,1951
0.5,1525
0.538,2956
0.574,2009
0.609,2244
0.645,3163107
0.68,1862123
0.716,2515057
0.751,1804055
0.787,2202845
0.822,2618603
0.858,2061712
0.893,2357531
0.929,2892312
0.964,1733681
1,2467205
1.035,2477650
1.071,1681077
1.106,1844324
1.142,1775884
1.177,2033406
1.213,1580505
1.248,2338322
1.284,2271379
1.319,2543144
1.355,2072512
1.39,2353114
1.426,2377605
1.461,2794698
1.497,2832118
1.532,2818246
1.568,2070526
1.603,2197684
1.639,2791189
1.674,1996875
1.71,1710268
1.745,1767429
1.781,2305032
1.816,2304383
1.852,1962775
1.887,1904918
1.923,2021675
1.958,1649026
1.994,2498165
2.029,1621566
2.065,2627266
2.1,2771896
2.136,2301123
2.171,1677417
2.207,2694775
2.242,1628162
2.278,1789429
2.313,1864693
2.349,1900506
2.384,2027633
2.42,2358647
2.455,2629688
2.491,1775309
2.526,1830866
2.562,2666856
2.597,2074399
2.633,2742557
2.668,2759288
2.703,2157829
2.739,2107148
2.774,2229846
2.81,1583889
2.845,2634273
2.881,2279958
2.916,1802414
2.952,2093852
2.987,2122421
3.023,2557998
3.058,1716587
3.094,1895960
3.129,1802001
3.164,2440659
3.2,1940421
3.235,1877900
3.271,1955791
3.306,2204020
3.341,2063902
3.377,1771146
3.412,1865224
3.447,1651342
3.483,1903132
3.518,1827252
3.554,2095372
3.589,2633057
3.624,1948577
3.66,2114697
3.695,1959755
3.731,1870428
3.766,1797103
3.801,2178351
3.837,2917590
3.872,2068718
3.907,2803784
3.942,2282442
3.978,2064415
4.013,2558983
4.048,2332017
4.084,2032408
4.119,1730136
4.154,2115584
4.19,2160429
4.225,2106201
4.26,2768721
4.295,2721117
4.331,1680747
4.366,2065300
4.401,2658730
4.437,2798877
4.472,2035396
4.507,2406862
4.543,2681303
4.578,3018392
4.613,3228054
4.649,1810853
4.684,3093967
4.719,1849061
4.755,3187995
4.79,1859801
4.825,2718950
4.86,2312896
4.896,1703822
4.931,2406108
4.966,2120896
5.002,1926640
5.037,1779413
5.072,2858328
5.107,2872203
5.143,2884053
5.178,2914142
5.213,3093137
5.248,2006289
5.284,2680588
5.319,3015178
5.354,3287671
5.389,2059119
5.425,2559334
5.46,2218564
5.495,2183819
5.531,2834537
5.566,2392897
5.601,2377625
5.637,2086408
